,distance,drainage_delta
1044,4080091.414,1345
1045,421611.7703,
1046,625895.7886,151.5999985
1047,4108609.583,58
1048,4125942.365,163.9000015
1049,344258.0703,33
1050,1457281.492,4275
1051,1740356.195,47895
1052,539783.8198,
1053,3378102.192,25395
1054,3038192.01,29
1055,363307.0832,184.2000008
1056,2763668.362,13095
1057,2730547.678,202.9100001
1058,681011.2779,25
1059,1290028.614,591
1060,628076.7706,590
1061,151638.4455,160.7000008
1062,2917744.206,592384
1063,161617.0344,
1064,3758806.679,86
1065,473216.3295,34
1066,334515.2874,197.1999998
1067,1316840.711,1195
1068,418447.7975,
1069,646557.6338,1035
1070,3381493.926,152.2000008
1071,244309.4971,
1072,1007087.061,7485
1073,85746.83365,101
1074,3044185.444,
1075,645136.2168,176
1076,3047523.607,295
1077,251688.4456,432
1078,1367258.65,544
1079,434573.3744,30
1080,374433.4178,1625
1081,883029.8561,143.5999985
1082,3036769.045,1525
1083,152039.055,176
1084,4446500.802,173
1085,3434610.775,111
1086,3945434.651,54
1087,410055.1146,151.0999985
1088,555065.7323,151
1089,174257.9604,197.5100002
1090,3591094.076,146.4000015
1091,700766.9063,582
1092,3313853.72,3215
1093,449604.8405,34
1094,3023692.258,36795
1095,103758.667,25
1096,3761770.018,197.23
1097,1527552.182,1505
1098,1278554.276,20495
1099,217838.8106,20
1100,3527115.089,143.0999985
1101,25364.39229,114.3000031
1102,743221.6768,165.0999985
1103,1496553.185,
1104,34397.5374,189.1999998
1105,3057766.81,492
1106,3353248.344,64
1107,3492173.815,
1108,1011953.612,383
1109,1406279.044,628
1110,434639.3082,86
1111,3511426.356,122.0999985
1112,1797575.065,1835
1113,2690257.073,8835
1114,1300252.832,15295
1115,58867.72518,23
1116,116854.1833,1025
1117,139786.9456,177.7999992
1118,932326.5928,22
1119,50755.7677,62
1120,2934729.327,41
1121,2413913.394,3955
1122,497690.909,608.2000122
1123,242705.2367,
1124,1837642.736,6285
1125,2954942.6,1645
1126,3344073.243,25495
1127,368858.966,985
1128,465373.9848,102
1129,541218.6942,76
1130,1156934.196,43895
1131,707375.6638,
1132,3551449.82,182.1000004
1133,3210928.306,727
1134,275111.5043,
1135,324183.2236,19795
1136,161310.9876,204.46
1137,1190423.797,1005
1138,3015062.049,1805
1139,2798230.236,11095
1140,3310464.881,106
1141,2949454.992,1435
1142,280792.3307,
1143,221553.2797,751
1144,161973.533,
1145,646568.4875,1505
1146,2790650.633,33
1147,1820470.032,204.03
1148,3509981.226,143.5999985
1149,201473.9901,4505
1150,263298.2096,41
1151,1515670.812,681
1152,3583088.474,18695
1153,4050716.879,106.5999985
1154,1618312.717,18195
1155,603560.124,
1156,677405.2854,93
1157,79963.54542,180.2999992
1158,928571.0875,2235
1159,968818.6931,20095
1160,113280.3158,183
1161,280514.163,1785
1162,162237.6188,90
1163,3457437.038,180
1164,2830512.539,430
1165,424133.4802,1425
1166,3419237.866,1945
1167,231329.8985,150.5999985
1168,4013050.66,57
1169,116966.2663,600
1170,3272547.606,2035
1171,180145.1426,125
1172,3023701.984,37
1173,2816047.766,3215
1174,3113113.658,52
1175,624850.8839,182.1000004
1176,763313.0509,14295
1177,138253.3928,37
1178,3715403.972,569
1179,1822308.658,204.88
1180,287693.2084,26
1181,979218.8205,89
1182,3945857.292,1005
1183,623586.1507,5795
1184,284819.6121,
1185,20684.84438,189.6999998
1186,148790.6097,
1187,228684.4446,
1188,381492.4484,
1189,454714.5145,
1190,3291391.405,4275
1191,109922.4017,
1192,394269.8247,125.1999969
1193,1820751.022,204.46
1194,617832.2614,110
1195,443611.9833,37
1196,3139628.115,6685
1197,71688.84426,173.8999996
1198,116911.5236,546
1199,2963641.246,582
1200,3351659.424,6
1201,3661106.485,14495
1202,126535.3057,380
1203,531324.198,80
1204,492488.4419,
1205,2890201.528,13695
1206,1393689.379,3425
1207,2866128.424,51
1208,1154601.825,110.5999985
1209,4226009.024,168
1210,714873.3406,
1211,3027066.398,26
1212,826393.7759,12195
1213,1354800.337,8855
1214,536197.0346,2255
1215,3002855.416,2875
1216,3178866.123,15395
1217,2947070.046,3475
1218,1336241.501,230
1219,286641.6803,
1220,120280.6538,70
