,origin_id,hydat_id,origin_dist_from_net,hydat_dist_from_net,dist,pos
78,10734,01CD003,154.42491101802258,124.91967852245968,1176.1867151560236,On-Up
79,10513,01CD001,373.7561474553511,97.61322990980162,5693.08914919677,On-Up
80,10513,01CD002,373.7561474553511,118.7496745868117,6896.818800760379,On-Up
81,10513,01CD003,373.7561474553511,124.91967852245968,1747.4184005098978,On-Up
82,9656,01CD001,194.4748481591179,97.61322990980162,6300.315329253548,On-Up
83,9656,01CD002,194.4748481591179,118.7496745868117,7504.044980817157,On-Up
84,9656,01CD003,194.4748481591179,124.91967852245968,2354.6445805666754,On-Up
85,10417,01CD001,87.17925877420835,97.61322990980162,6350.972891877791,On-Up
86,10417,01CD002,87.17925877420835,118.7496745868117,7554.7025434414,On-Up
87,10417,01CD003,87.17925877420835,124.91967852245968,2405.3021431909183,On-Up
88,10241,01CD001,115.51393830160043,97.61322990980162,6997.621396258474,On-Up
89,10241,01CD002,115.51393830160043,118.7496745868117,8201.351047822083,On-Up
90,10241,01CD003,115.51393830160043,124.91967852245968,3051.9506475716016,On-Up
91,9603,01CD001,3.961592240471709,97.61322990980162,7605.121552811756,On-Up
92,9603,01CD002,3.961592240471709,118.7496745868117,8808.851204375365,On-Up
93,9603,01CD003,3.961592240471709,124.91967852245968,3659.4508041248837,On-Up
94,9763,01CD001,134.68885145634906,97.61322990980162,8640.335884335514,On-Up
95,9763,01CD002,134.68885145634906,118.7496745868117,9844.065535899123,On-Up
96,9763,01CD003,134.68885145634906,124.91967852245968,4694.665135648641,On-Up
97,10430,01CD001,107.61639886272762,97.61322990980162,9916.945058021443,On-Up
98,10430,01CD003,107.61639886272762,124.91967852245968,5971.27430933457,On-Up
99,9748,01CD003,257.32648747009813,124.91967852245968,7183.807901039178,On-Up
100,10106,01CD003,196.48166156992977,124.91967852245968,7607.870795967671,On-Up
101,9986,01CC011,71.50557632543017,62.26550274934251,3271.62802583794,Up
102,10194,01CC005,378.6318342868481,73.30962882121774,8499.924353540302,Down
103,10363,01CC009,9.098455815034649,76.180359231646,125.59248219489375,On-Down
104,9829,01CC004,400.76744836345256,431.90791789848237,67.12534848568737,On-Down
105,10083,01CC004,388.8689168999266,431.90791789848237,879.6623288093217,On-Up
106,9783,01CC005,70.983681236376,73.30962882121774,273.9458975532051,On-Up
107,9866,01CC007,238.29987076627756,171.92514271575217,8103.8169263424625,On-Down
108,10457,01CC007,299.0227171146955,171.92514271575217,8103.8169263424625,On-Down
109,10274,01CC007,141.30678745553422,171.92514271575217,7405.045634844358,On-Down
110,10114,01CC007,173.52757687668404,171.92514271575217,7000.3832177568365,On-Down
111,10727,01CC008,40.023657333763694,142.72824003926482,281.9561153152779,On-Down
112,9885,01CC008,61.59886670222196,142.72824003926482,934.0271601021605,On-Up
113,9636,01CC006,90.27292098487543,231.55588046536698,4485.770738132049,Up
114,10041,01CE006,178.82947317483683,338.620469743963,4804.217505962707,Up
115,9649,01CC006,227.0886015473592,231.55588046536698,99.14189873001737,On-Down
116,15474,01FB003,80.34743637063379,84.11580067719835,20.179413105154016,On-Up
117,15474,01FB004,80.34743637063379,34.99909926772478,4588.777776971019,Up
118,9836,01CE001,148.8442184139453,196.2429963096629,1342.866398537051,Up
119,9971,01CE003,173.70305206504355,171.2831297974188,2822.9300413019946,On-Up
120,9971,01CE004,173.70305206504355,16.286492959978396,3357.868395156628,Up
121,9802,01CE003,327.7675971491665,171.2831297974188,3049.731861003527,On-Up
122,10333,01CE003,454.06202397136684,171.2831297974188,3165.9422911114107,On-Up
123,9948,01CE001,353.5196523585844,196.2429963096629,620.7308305392328,On-Down
124,9672,01CE002,107.62274936214354,53.1449017654646,3733.7773458818983,Up
125,17185,01AP002,198.2895323615222,62.58751381679294,5471.133809772673,Down
126,9660,01CE005,212.66891741492864,109.13290913737237,6059.80959984334,Down
127,15863,01AP002,9.086895946144294,62.58751381679294,125.41545522714304,On-Down
128,15850,01BU001,161.16459070386387,268.91693362514815,3003.4547605103307,Up
129,15876,01AK002,85.85919079039817,163.49391679769462,7322.852953306256,Up
130,15902,01AL001,107.79849648276247,142.14632269508527,4369.769612356269,Up
131,15851,01AK004,171.7961298812213,203.0307363381499,494.1952500577896,On-Up
132,15851,01AK010,171.7961298812213,48.44764683013832,3626.0169100661574,On-Up
133,15893,01BU002,163.81498587969733,134.66929976750495,77.24675656040706,On-Up
134,15893,01BU009,163.81498587969733,89.29166330178835,9539.963897852,Up
135,6574,01AR011,415.3580043084307,423.17442294173355,8.472577186217547,On-Down
