,Station_ID,unique_ind,dist_along,geometry,dist_from
75,02CC004,1928920,768.9411789,POINT (143991.87307490045 713679.7200042112),10.11515647
76,02CC005,1936591,3449.240353,POINT (133608.00930326397 730225.923609439),36.22828121
77,02CC006,1931790,1977.519761,POINT (124989.48180315178 732251.575154345),68.42905938
78,02CC007,1935984,1721.568791,POINT (125578.92197506424 734672.2225707058),101.2592083
79,02CC008,2566810,1251.482385,POINT (154296.76127632015 709128.45604085),82.74623733
80,02CC009,1930973,1214.167461,POINT (133225.48147056988 721425.0112447949),35.445466
81,02CC010,1933882,51.06233692,POINT (157460.91327303706 751961.1670943908),32.12125481
82,02CD001,1895747,922.9612124,POINT (194323.31632186647 711547.0497590429),43.59579237
83,02CD002,1897905,827.0211795,POINT (182644.0987136974 741580.3605534314),17.78421223
84,02CD003,1894149,514.469657,POINT (195581.64329271702 742621.6302509261),23.52519303
85,02CD004,1894416,287.8670687,POINT (199391.48171816763 730169.3179398169),51.10315752
86,02CD005,1897430,176.6031004,POINT (192419.5754692483 744032.9686588137),20.97175365
87,02CD006,1896947,558.7253652,POINT (186229.40407185652 745106.4363166154),15.50915782
88,02CD007,1893426,798.6492386,POINT (183505.56879175184 727199.1264223655),40.96965589
89,02CD008,1980793,287.7530876,POINT (188121.38623326173 731212.9978551171),113.7939713
90,02CD009,1980673,926.8902488,POINT (188945.01234846405 731180.216704476),79.54466979
91,02CD010,1980673,2113.06801,POINT (188382.3552437352 730596.5797455633),18.05722871
92,02CE001,1946003,528.9186829,POINT (251789.4821056778 720496.3500403448),161.9157892
93,02CE002,1943290,1294.120213,POINT (228779.41967985308 713434.749150406),27.04641636
94,02CE003,1942500,331.7955546,POINT (243908.3236882608 719645.8561483518),0.151589114
95,02CE004,2016071,95.35334749,POINT (266998.5227998225 733939.7057175129),52.92377872
96,02CE007,1948790,12.13983643,POINT (264248.3210395623 739316.2226137004),16.25593818
97,02CE103,1947790,2718.336472,POINT (266123.2683535625 737021.4670751964),59.30875534
98,02CF001,2019312,394.7952173,POINT (289193.8818931525 736709.7789224895),92.39420778
99,02CF002,2019853,628.6330285,POINT (284286.52948734513 729549.6897420847),121.23418
100,02CF004,2019299,2483.94289,POINT (271035.82382801897 726797.9817920532),36.16293681
101,02CF005,2012904,1744.023053,POINT (309713.28434705216 747407.2965592919),5.102079136
102,02CF007,2014282,257.5087897,POINT (294402.82449737174 758284.1817383706),16.90055454
103,02CF008,2015717,17.03506734,POINT (307075.03532022424 762051.4979431073),7.43015544
104,02CF009,2012523,614.2223462,POINT (309854.9884437321 749531.3665842626),29.57242725
105,02CF010,2018399,356.3800183,POINT (280154.00836967956 759297.1769968903),39.9474174
106,02CF011,2012285,7400.614626,POINT (308396.23556428717 770605.7182130018),18.28957304
107,02CF012,2011825,449.4719164,POINT (303230.8540066883 741226.5079883597),21.1392794
108,02CF013,2017379,636.896571,POINT (279194.783736006 763346.2680944119),4.500735711
109,02CF014,2020128,1010.150527,POINT (311493.8996438443 785875.9977175532),8.318834776
110,02CF100,2020911,168.2092849,POINT (312743.1555335736 774199.0585613976),14.36653054
111,02CG001,2657558,356.327,POINT (214963.37251779332 677341.2790508989),249.942189
112,02CG003,2655651,3464.009156,POINT (238255.61814508637 650341.6561754292),5.27388922
113,02CG004,2658004,2654.200135,POINT (210556.61410900683 653909.7942910914),15.12546144
114,02DA001,2129906,140.220651,POINT (334476.0116446621 769861.0748778154),2.557362113
115,02DB001,1992645,118.3745615,POINT (332706.6561054251 753756.1003116316),29.42244287
116,02DB002,1996823,1291.953379,POINT (324271.7207821299 730048.383851672),14.90460617
117,02DB003,1994783,1310.46138,POINT (324566.00393230835 747598.1171257226),211.4269197
118,02DB004,1993080,875.7027298,POINT (324516.39137078065 748378.0679872276),41.47376843
119,02DB005,1995919,1061.807311,POINT (323905.34883870574 733294.1732252169),37.94406783
120,02DB006,1998486,112.6881862,POINT (332587.4617865631 753591.4495181786),37.94006963
121,02DB007,1990321,345.8286936,POINT (324382.0980250062 747931.1283199589),8.676947905
