,Id,MonitoringLocationID,MonitoringLocationName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ResultSampleFraction,ResultValue,ResultUnit
6314,184312250,0200003,COLUMBIA RIVER @ BIRCHBANK,2019-10-23,10:10:00,2019-10-23,Unfiltered,0.093,mg/L
16051,185926988,0200003,COLUMBIA RIVER @ BIRCHBANK,2019-10-23,10:10:00,2019-10-23,Filtered,0.108,mg/L
47466,191061815,0200003,COLUMBIA RIVER @ BIRCHBANK,2019-10-23,10:05:00,2019-10-23,Filtered,0.081,mg/L
11783,185233621,0200003,COLUMBIA RIVER @ BIRCHBANK,2019-11-07,09:45:00,2019-11-07,Filtered,0.072,mg/L
50697,191585912,0200003,COLUMBIA RIVER @ BIRCHBANK,2019-11-21,09:35:00,2019-11-21,Unfiltered,0.091,mg/L
21149,186753928,0200003,COLUMBIA RIVER @ BIRCHBANK,2019-12-04,09:47:00,2019-12-04,Unfiltered,0.061,mg/L
30001,188196587,0200003,COLUMBIA RIVER @ BIRCHBANK,2019-12-18,09:53:00,2019-12-18,Filtered,0.061,mg/L
2168,183646673,0200003,COLUMBIA RIVER @ BIRCHBANK,2020-01-09,09:50:00,2020-01-09,Filtered,0.075,mg/L
44655,190613770,0200003,COLUMBIA RIVER @ BIRCHBANK,2020-01-20,10:12:00,2020-01-20,Filtered,0.06,mg/L
47066,191001859,0200003,COLUMBIA RIVER @ BIRCHBANK,2020-02-19,10:00:00,2020-02-19,Unfiltered,0.058,mg/L
44734,190628554,0200003,COLUMBIA RIVER @ BIRCHBANK,2021-08-04,10:00:00,2021-08-04,Unfiltered,0.07,mg/L
33215,188742205,0200003,COLUMBIA RIVER @ BIRCHBANK,2021-08-17,10:00:00,2021-08-17,Unfiltered,0.072,mg/L
13985,185593808,0200003,COLUMBIA RIVER @ BIRCHBANK,2021-09-01,09:01:00,2021-09-01,Filtered,0.054,mg/L
47242,191029274,0200003,COLUMBIA RIVER @ BIRCHBANK,2021-09-14,09:40:00,2021-09-14,Filtered,0.053,mg/L
10074,184948485,0200003,COLUMBIA RIVER @ BIRCHBANK,2021-10-26,09:45:00,2021-10-26,Filtered,0.052,mg/L
31925,188526253,0200003,COLUMBIA RIVER @ BIRCHBANK,2022-04-13,10:05:00,2022-04-13,Unfiltered,0.071,mg/L
9778,184898943,0200003,COLUMBIA RIVER @ BIRCHBANK,2022-04-27,10:00:00,2022-04-27,Filtered,0.088,mg/L
8869,184740866,0200003,COLUMBIA RIVER @ BIRCHBANK,2022-05-12,09:50:00,2022-05-12,Filtered,0.051,mg/L
3106,183802375,0200003,COLUMBIA RIVER @ BIRCHBANK,2022-05-25,10:00:00,2022-05-25,Unfiltered,0.066,mg/L
54228,230282711,0200003,COLUMBIA RIVER @ BIRCHBANK,2022-06-06,10:15:00,2022-06-06,Filtered,0.056,mg/L
52876,228349505,0200003,COLUMBIA RIVER @ BIRCHBANK,2022-06-06,10:15:00,2022-06-06,Unfiltered,0.086,mg/L
56534,233373445,0200003,COLUMBIA RIVER @ BIRCHBANK,2022-06-06,10:20:00,2022-06-06,Filtered,0.055,mg/L
55270,231700498,0200003,COLUMBIA RIVER @ BIRCHBANK,2022-06-23,10:25:00,2022-06-23,Unfiltered,0.084,mg/L
52188,227310763,0200003,COLUMBIA RIVER @ BIRCHBANK,2022-07-06,10:10:00,2022-07-06,Unfiltered,0.086,mg/L
57250,234420472,0200003,COLUMBIA RIVER @ BIRCHBANK,2022-07-18,10:40:00,2022-07-18,Filtered,0.07,mg/L
55880,232501692,0200003,COLUMBIA RIVER @ BIRCHBANK,2022-08-10,09:36:00,2022-08-10,Filtered,0.097,mg/L
55400,231887490,0200003,COLUMBIA RIVER @ BIRCHBANK,2022-08-31,09:50:00,2022-08-31,Unfiltered,0.09,mg/L
51677,226640025,0200003,COLUMBIA RIVER @ BIRCHBANK,2022-09-29,09:40:00,2022-09-29,Unfiltered,0.076,mg/L
52275,227444546,0200003,COLUMBIA RIVER @ BIRCHBANK,2023-04-12,09:55:00,2023-04-12,Filtered,0.063,mg/L
40851,189987732,0200021,PEND D`OREILLE RIVER AT WANETA,2020-01-20,12:05:00,2020-01-20,Filtered,0.058,mg/L
42533,190266798,0200021,PEND D`OREILLE RIVER AT WANETA,2020-01-20,11:55:00,2020-01-20,Unfiltered,0.055,mg/L
5454,184177131,0200021,PEND D`OREILLE RIVER AT WANETA,2020-01-20,11:50:00,2020-01-20,Filtered,0.06,mg/L
52998,228513343,0200021,PEND D`OREILLE RIVER AT WANETA,2022-12-20,11:15:00,2022-12-20,Filtered,0.092,mg/L
10081,184949145,0200029,ST. MARY RIVER; COMINCO PUMPHOUSE,1972-02-02,12:45:00,1972-02-02,Unfiltered,0.18,mg/L
50460,191547720,0200030,BULL RIVER AT WARDNER-FORT STEELE ROAD BRIDGE,1970-06-03,10:00:00,1970-06-03,Unfiltered,0.02,mg/L
17386,186147364,0200030,BULL RIVER AT WARDNER-FORT STEELE ROAD BRIDGE,1972-01-06,11:20:00,1972-01-06,Unfiltered,0.02,mg/L
22728,187009559,0200034,KOOTENAY LAKE AT CAPE HORN,1970-07-13,15:00:00,1970-07-13,Unfiltered,0.18,mg/L
9994,184932854,0200034,KOOTENAY LAKE AT CAPE HORN,1970-12-16,12:45:00,1970-12-16,Unfiltered,0.08,mg/L
36806,189330756,0200034,KOOTENAY LAKE AT CAPE HORN,1970-12-16,12:30:00,1970-12-16,Unfiltered,0.08,mg/L
2546,183709739,0200034,KOOTENAY LAKE AT CAPE HORN,1971-03-29,10:00:00,1971-03-29,Unfiltered,0.06,mg/L
13814,185569331,0200034,KOOTENAY LAKE AT CAPE HORN,1971-03-29,09:30:00,1971-03-29,Unfiltered,0.08,mg/L
41981,190172644,0200034,KOOTENAY LAKE AT CAPE HORN,1971-05-11,09:30:00,1971-05-11,Unfiltered,0.23,mg/L
12163,185298814,0200034,KOOTENAY LAKE AT CAPE HORN,1971-05-11,08:30:00,1971-05-11,Unfiltered,0.06,mg/L
8413,184661954,0200034,KOOTENAY LAKE AT CAPE HORN,1971-07-05,10:30:00,1971-07-05,Unfiltered,0.09,mg/L
39317,189742116,0200034,KOOTENAY LAKE AT CAPE HORN,1971-08-10,14:00:00,1971-08-10,Unfiltered,0.06,mg/L
26130,187556844,0200034,KOOTENAY LAKE AT CAPE HORN,1971-08-10,14:30:00,1971-08-10,Unfiltered,0.04,mg/L
8530,184681074,0200034,KOOTENAY LAKE AT CAPE HORN,1971-09-20,14:00:00,1971-09-20,Unfiltered,0.14,mg/L
20907,186717246,0200034,KOOTENAY LAKE AT CAPE HORN,1971-10-27,09:00:00,1971-10-27,Unfiltered,0.15,mg/L
4943,184095985,0200034,KOOTENAY LAKE AT CAPE HORN,1972-02-15,13:00:00,1972-02-15,Unfiltered,0.07,mg/L
25383,187436661,0200034,KOOTENAY LAKE AT CAPE HORN,1972-02-15,13:30:00,1972-02-15,Unfiltered,0.06,mg/L
6982,184418939,0200034,KOOTENAY LAKE AT CAPE HORN,1972-03-28,09:15:00,1972-03-28,Unfiltered,0.06,mg/L
14861,185743419,0200034,KOOTENAY LAKE AT CAPE HORN,1972-06-07,08:35:00,1972-06-07,Unfiltered,0.16,mg/L
27475,187779364,0200034,KOOTENAY LAKE AT CAPE HORN,1972-06-07,08:05:00,1972-06-07,Unfiltered,0.26,mg/L
31648,188474015,0200034,KOOTENAY LAKE AT CAPE HORN,1972-06-07,08:25:00,1972-06-07,Unfiltered,0.17,mg/L
19621,186515277,0200034,KOOTENAY LAKE AT CAPE HORN,1972-06-07,08:25:00,1972-06-07,Unfiltered,0.23,mg/L
13289,185478428,0200034,KOOTENAY LAKE AT CAPE HORN,1972-07-11,09:30:00,1972-07-11,Unfiltered,0.19,mg/L
33266,188750401,0200034,KOOTENAY LAKE AT CAPE HORN,1972-07-11,09:10:00,1972-07-11,Unfiltered,0.06,mg/L
6638,184366702,0200034,KOOTENAY LAKE AT CAPE HORN,1972-07-11,09:25:00,1972-07-11,Unfiltered,0.07,mg/L
29854,188171724,0200034,KOOTENAY LAKE AT CAPE HORN,1972-07-11,09:20:00,1972-07-11,Unfiltered,0.09,mg/L
24823,187343871,0200034,KOOTENAY LAKE AT CAPE HORN,1972-08-08,10:05:00,1972-08-08,Unfiltered,0.05,mg/L
40134,189872770,0200034,KOOTENAY LAKE AT CAPE HORN,1972-08-08,10:15:00,1972-08-08,Unfiltered,0.06,mg/L
39065,189701845,0200034,KOOTENAY LAKE AT CAPE HORN,1972-08-08,11:05:00,1972-08-08,Unfiltered,0.11,mg/L
4897,184089219,0200034,KOOTENAY LAKE AT CAPE HORN,1972-08-08,10:55:00,1972-08-08,Unfiltered,0.07,mg/L
47768,191110957,0200034,KOOTENAY LAKE AT CAPE HORN,1972-09-13,11:05:00,1972-09-13,Unfiltered,0.02,mg/L
7156,184448768,0200034,KOOTENAY LAKE AT CAPE HORN,1972-09-13,11:25:00,1972-09-13,Unfiltered,0.08,mg/L
21145,186753503,0200034,KOOTENAY LAKE AT CAPE HORN,1972-09-13,11:15:00,1972-09-13,Unfiltered,0.11,mg/L
15252,185799917,0200034,KOOTENAY LAKE AT CAPE HORN,1972-10-04,10:20:00,1972-10-04,Unfiltered,0.09,mg/L
2042,183626225,0200034,KOOTENAY LAKE AT CAPE HORN,1972-10-04,10:45:00,1972-10-04,Unfiltered,0.07,mg/L
47601,191082650,0200034,KOOTENAY LAKE AT CAPE HORN,1972-10-04,10:25:00,1972-10-04,Unfiltered,0.02,mg/L
28411,187934073,0200034,KOOTENAY LAKE AT CAPE HORN,1972-10-04,10:40:00,1972-10-04,Unfiltered,0.11,mg/L
37579,189461192,0200034,KOOTENAY LAKE AT CAPE HORN,1972-11-08,11:25:00,1972-11-08,Unfiltered,0.12,mg/L
16481,185993184,0200034,KOOTENAY LAKE AT CAPE HORN,1972-11-08,10:50:00,1972-11-08,Unfiltered,0.1,mg/L
23703,187162389,0200034,KOOTENAY LAKE AT CAPE HORN,1972-11-08,11:20:00,1972-11-08,Unfiltered,0.08,mg/L
49704,191429730,0200034,KOOTENAY LAKE AT CAPE HORN,1972-11-08,11:05:00,1972-11-08,Unfiltered,0.1,mg/L
46990,190989719,0200034,KOOTENAY LAKE AT CAPE HORN,1973-03-07,11:25:00,1973-03-07,Unfiltered,0.03,mg/L
40933,190000851,0200034,KOOTENAY LAKE AT CAPE HORN,1973-03-07,11:10:00,1973-03-07,Unfiltered,0.03,mg/L
12167,185299718,0200034,KOOTENAY LAKE AT CAPE HORN,1973-04-09,12:00:00,1973-04-09,Unfiltered,0.04,mg/L
45150,190689854,0200034,KOOTENAY LAKE AT CAPE HORN,1973-05-07,09:05:00,1973-05-07,Unfiltered,0.12,mg/L
6139,184283716,0200034,KOOTENAY LAKE AT CAPE HORN,1973-05-07,08:50:00,1973-05-07,Unfiltered,0.02,mg/L
9601,184869313,0200034,KOOTENAY LAKE AT CAPE HORN,1973-06-07,09:25:00,1973-06-07,Unfiltered,0.1,mg/L
12980,185430290,0200034,KOOTENAY LAKE AT CAPE HORN,1973-06-07,09:30:00,1973-06-07,Unfiltered,0.1,mg/L
